codigo,descricao,grupo,energiaKcal,proteinaG,lipideosG,carboidratoG,fibraG,calcioMg,magnesioMg,manganesMg,fosforoMg,ferroMg,sodioMg,potassioMg,cobreMg,zincoMg,selenioMcg,retinolMcg,raeMcg,tiaminaMg,riboflavinaMg,niacinaMg,piridoxinaMg,vitaminaB12Mcg,folatoMcg,vitaminaDMcg,vitaminaEMg,vitaminaCMg,colesterolMg,gordurasSaturadasG,gordurasMonoinsaturadasG,gordurasPoliinsaturadasG,gordurasTransG,acucaresG,acucaresAdicionadosG
7105203-2,"Mocoto Suino, cozido(a)",,214,28.81,10.13,,,6,24,0.011,222,1,50,363,0.012,2.83,43.2,2,2,0.639,0.312,5.355,0.4,0.55,9,0.8,0.32,0.4,83,3.54,4.49,0.85,0.03,,
7105401-2,"Carne de Cabrito, cozido(a)",,143,27.1,3.03,,,17,,0.042,201,3.73,86,405,0.303,5.27,11.8,,,0.09,0.61,3.95,,1.19,5,,0.34,,75,0.93,1.36,0.23,0.09,,
7105401-3,"Carne de Cabrito, grelhado(a)/brasa/churrasco",,143,27.1,3.03,,,17,,0.042,201,3.73,86,405,0.303,5.27,11.8,,,0.09,0.61,3.95,,1.19,5,,0.34,,75,0.93,1.36,0.23,0.09,,
7105401-4,"Carne de Cabrito, assado(a)",,143,27.1,3.03,,,17,,0.042,201,3.73,86,405,0.303,5.27,11.8,,,0.09,0.61,3.95,,1.19,5,,0.34,,75,0.93,1.36,0.23,0.09,,
7105402-2,"Carne de Bode, cozido(a)",,143,27.1,3.03,,,17,,0.042,201,3.73,86,405,0.303,5.27,11.8,,,0.09,0.61,3.95,,1.19,5,,0.34,,75,0.93,1.36,0.23,0.09,,
7105402-3,"Carne de Bode, grelhado(a)/brasa/churrasco",,143,27.1,3.03,,,17,,0.042,201,3.73,86,405,0.303,5.27,11.8,,,0.09,0.61,3.95,,1.19,5,,0.34,,75,0.93,1.36,0.23,0.09,,
7105402-4,"Carne de Bode, assado(a)",,143,27.1,3.03,,,17,,0.042,201,3.73,86,405,0.303,5.27,11.8,,,0.09,0.61,3.95,,1.19,5,,0.34,,75,0.93,1.36,0.23,0.09,,
7105402-5,"Carne de Bode, frito(a)",,165.7,27.1,5.59,,,17,,0.042,201,3.73,86,405,0.303,5.27,12.97,,,0.09,0.61,3.95,,1.19,5,,0.55,,75,1.331,1.944,1.71,0.104,,
7105403-2,"Carne Caprina, cozido(a)",,143,27.1,3.03,,,17,,0.042,201,3.73,86,405,0.303,5.27,11.8,,,0.09,0.61,3.95,,1.19,5,,0.34,,75,0.93,1.36,0.23,0.09,,
7105403-4,"Carne Caprina, assado(a)",,143,27.1,3.03,,,17,,0.042,201,3.73,86,405,0.303,5.27,11.8,,,0.09,0.61,3.95,,1.19,5,,0.34,,75,0.93,1.36,0.23,0.09,,
7105403-5,"Carne Caprina, frito(a)",,165.7,27.1,5.59,,,17,,0.042,201,3.73,86,405,0.303,5.27,12.97,,,0.09,0.61,3.95,,1.19,5,,0.55,,75,1.331,1.944,1.71,0.104,,
7105403-13,"Carne Caprina, ensopado",,165.7,27.1,5.59,,,17,,0.042,201,3.73,86,405,0.303,5.27,12.97,,,0.09,0.61,3.95,,1.19,5,,0.55,,75,1.331,1.944,1.71,0.104,,
7105405-1,"Carne de Caprino, cru(a)",,143,27.1,3.03,,,17,,0.042,201,3.73,86,405,0.303,5.27,11.8,,,0.09,0.61,3.95,,1.19,5,,0.34,,75,0.93,1.36,0.23,0.09,,
7105405-2,"Carne de Caprino, cozido(a)",,143,27.1,3.03,,,17,,0.042,201,3.73,86,405,0.303,5.27,11.8,,,0.09,0.61,3.95,,1.19,5,,0.34,,75,0.93,1.36,0.23,0.09,,
7105405-5,"Carne de Caprino, frito(a)",,165.7,27.1,5.59,,,17,,0.042,201,3.73,86,405,0.303,5.27,12.97,,,0.09,0.61,3.95,,1.19,5,,0.55,,75,1.331,1.944,1.71,0.104,,
7105601-2,"Carne de Carneiro, cozido(a)",,204,28.35,9.17,,,8,25,0.028,203,2.2,71,333,0.119,4.85,30.8,,,0.12,0.31,6.27,0.17,2.58,21,0.6,0.17,,92,3.28,4.02,0.6,0.4,,
7105601-3,"Carne de Carneiro, grelhado(a)/brasa/churrasco",,204,28.35,9.17,,,8,25,0.028,203,2.2,71,333,0.119,4.85,30.8,,,0.12,0.31,6.27,0.17,2.58,21,0.6,0.17,,92,3.28,4.02,0.6,0.4,,
7105601-4,"Carne de Carneiro, assado(a)",,204,28.35,9.17,,,8,25,0.028,203,2.2,71,333,0.119,4.85,30.8,,,0.12,0.31,6.27,0.17,2.58,21,0.6,0.17,,92,3.28,4.02,0.6,0.4,,
7105601-5,"Carne de Carneiro, frito(a)",,253.6,28.35,14.78,,,8,25,0.028,203,2.2,71,333,0.119,4.85,33.37,,,0.12,0.31,6.27,0.17,2.58,21,0.6,0.629,,92,4.158,5.297,3.838,0.43,,
7105601-13,"Carne de Carneiro, ensopado",,253.6,28.35,14.78,,,8,25,0.028,203,2.2,71,333,0.119,4.85,33.37,,,0.12,0.31,6.27,0.17,2.58,21,0.6,0.629,,92,4.158,5.297,3.838,0.43,,
7105602-2,"Carne de Ovelha, cozido(a)",,204,28.35,9.17,,,8,25,0.028,203,2.2,71,333,0.119,4.85,30.8,,,0.12,0.31,6.27,0.17,2.58,21,0.6,0.17,,92,3.28,4.02,0.6,0.4,,
7105602-3,"Carne de Ovelha, grelhado(a)/brasa/churrasco",,204,28.35,9.17,,,8,25,0.028,203,2.2,71,333,0.119,4.85,30.8,,,0.12,0.31,6.27,0.17,2.58,21,0.6,0.17,,92,3.28,4.02,0.6,0.4,,
7105602-4,"Carne de Ovelha, assado(a)",,204,28.35,9.17,,,8,25,0.028,203,2.2,71,333,0.119,4.85,30.8,,,0.12,0.31,6.27,0.17,2.58,21,0.6,0.17,,92,3.28,4.02,0.6,0.4,,
7105602-5,"Carne de Ovelha, frito(a)",,253.6,28.35,14.78,,,8,25,0.028,203,2.2,71,333,0.119,4.85,33.37,,,0.12,0.31,6.27,0.17,2.58,21,0.6,0.629,,92,4.158,5.297,3.838,0.43,,
7105801-2,"Mocoto de Caprino, cozido(a)",,214,28.81,10.13,,,6,24,0.011,222,1,50,363,0.012,2.83,43.2,2,2,0.639,0.312,5.355,0.4,0.55,9,0.8,0.32,0.4,83,3.54,4.49,0.85,0.03,,
7106301-2,"Pernil, cozido(a)",,289,25.34,20.06,,,15,22,0.028,257,0.98,59,338,0.098,3.06,43.3,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.22,0.3,92,7.36,9.02,1.89,0.037,,
7106301-3,"Pernil, grelhado(a)/brasa/churrasco",,289,25.34,20.06,,,15,22,0.028,257,0.98,59,338,0.098,3.06,43.3,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.22,0.3,92,7.36,9.02,1.89,0.037,,
7106301-4,"Pernil, assado(a)",,289,25.34,20.06,,,15,22,0.028,257,0.98,59,338,0.098,3.06,43.3,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.22,0.3,92,7.36,9.02,1.89,0.037,,
7106301-5,"Pernil, frito(a)",,338.6,25.34,25.67,,,15,22,0.028,257,0.98,59,338,0.098,3.06,45.87,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.679,0.3,92,8.238,10.297,5.128,0.067,,
7106401-2,"Lagarto Bovino, cozido(a)",,199,36.12,5,,,4,26,0.018,226,3.32,45,334,0.124,4.56,33,,,0.07,0.25,3.81,0.28,2.7,9,0.7,0.14,,90,1.72,2,0.22,0.227,,
7106401-4,"Lagarto Bovino, assado(a)",,199,36.12,5,,,4,26,0.018,226,3.32,45,334,0.124,4.56,33,,,0.07,0.25,3.81,0.28,2.7,9,0.7,0.14,,90,1.72,2,0.22,0.227,,
7106401-5,"Lagarto Bovino, frito(a)",,248.6,36.12,10.61,,,4,26,0.018,226,3.32,45,334,0.124,4.56,35.57,,,0.07,0.25,3.81,0.28,2.7,9,0.7,0.599,,90,2.598,3.277,3.458,0.257,,
7106401-7,"Lagarto Bovino, refogado(a)",,248.6,36.12,10.61,,,4,26,0.018,226,3.32,45,334,0.124,4.56,35.57,,,0.07,0.25,3.81,0.28,2.7,9,0.7,0.599,,90,2.598,3.277,3.458,0.257,,
7106401-8,"Lagarto Bovino, molho vermelho",,164,29.16,4.04,1.08,0.3,5.8,24,0.036,186,2.86,140.8,333.4,0.123,3.69,26.44,,3.48,0.061,0.213,3.243,0.243,2.16,9.4,0.56,0.396,1.4,72,1.381,1.605,0.191,0.182,0.85,
7106501-2,"Alcatra Suina, cozido(a)",,289,25.34,20.06,,,15,22,0.028,257,0.98,59,338,0.098,3.06,43.3,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.22,0.3,92,7.36,9.02,1.89,0.037,,
7106501-4,"Alcatra Suina, assado(a)",,289,25.34,20.06,,,15,22,0.028,257,0.98,59,338,0.098,3.06,43.3,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.22,0.3,92,7.36,9.02,1.89,0.037,,
7106501-5,"Alcatra Suina, frito(a)",,338.6,25.34,25.67,,,15,22,0.028,257,0.98,59,338,0.098,3.06,45.87,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.679,0.3,92,8.238,10.297,5.128,0.067,,
7107102-99,Brachola,,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107103-99,Bife Role Cru,,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107204-99,Buchada de Bode,,125,19.8,4.4,,3.9,11,8,0.11,57,1,29,58,0.06,2.7,,,,,,4.27,,,,,,,144,2.5,1.2,0.1,,,
7107501-2,"Sua Suina, cozido(a)",,397,29.06,30.3,,,47,24,0.014,261,1.85,93,320,0.142,4.6,37.4,3,3,0.408,0.382,5.475,0.35,1.08,4,1.1,0.34,,121,11.12,13.48,2.73,0.082,,
7107501-5,"Sua Suina, frito(a)",,397,29.06,30.3,,,47,24,0.014,261,1.85,93,320,0.142,4.6,37.4,3,3,0.408,0.382,5.475,0.35,1.08,4,1.1,0.34,,121,11.12,13.48,2.73,0.082,,
7107601-1,"Carne de Outros Animais, cru(a)",,242,24.22,15.42,,,8,20,0.001,196,2.81,67,337,0.093,5.71,28.3,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.14,,75,5.738,7.002,0.613,0.68,,
7107601-2,"Carne de Outros Animais, cozido(a)",,242,24.22,15.42,,,8,20,0.001,196,2.81,67,337,0.093,5.71,28.3,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.14,,75,5.738,7.002,0.613,0.68,,
7107601-3,"Carne de Outros Animais, grelhado(a)/brasa/churrasco",,242,24.22,15.42,,,8,20,0.001,196,2.81,67,337,0.093,5.71,28.3,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.14,,75,5.738,7.002,0.613,0.68,,
7107601-4,"Carne de Outros Animais, assado(a)",,242,24.22,15.42,,,8,20,0.001,196,2.81,67,337,0.093,5.71,28.3,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.14,,75,5.738,7.002,0.613,0.68,,
7107601-5,"Carne de Outros Animais, frito(a)",,264.7,24.22,17.98,,,8,20,0.001,196,2.81,67,337,0.093,5.71,29.48,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.35,,75,6.139,7.586,2.093,0.694,,
7107601-7,"Carne de Outros Animais, refogado(a)",,264.7,24.22,17.98,,,8,20,0.001,196,2.81,67,337,0.093,5.71,29.48,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.35,,75,6.139,7.586,2.093,0.694,,
7107601-8,"Carne de Outros Animais, molho vermelho",,198.4,19.64,12.37,1.08,0.3,9,19.2,0.022,162,2.45,158.4,335.8,0.098,4.61,22.68,,3.48,0.07,0.194,2.761,0.223,2.264,9.4,0.56,0.396,1.4,60,4.595,5.607,0.505,0.544,0.85,
7107601-13,"Carne de Outros Animais, ensopado",,264.7,24.22,17.98,,,8,20,0.001,196,2.81,67,337,0.093,5.71,29.48,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.35,,75,6.139,7.586,2.093,0.694,,
7107601-99,Carne de Outros Animais,,242,24.22,15.42,,,8,20,0.001,196,2.81,67,337,0.093,5.71,28.3,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.14,,75,5.738,7.002,0.613,0.68,,
7107603-2,"Carne da Paca, cozido(a)",,212,34.85,6.96,,,22,29,0.032,292,10,59,403,0.189,2.27,43.1,,,0.05,0.31,2.2,0.47,8.3,11,,0.45,3,117,2.07,1.89,1.35,,,
7107603-4,"Carne da Paca, assado(a)",,212,34.85,6.96,,,22,29,0.032,292,10,59,403,0.189,2.27,43.1,,,0.05,0.31,2.2,0.47,8.3,11,,0.45,3,117,2.07,1.89,1.35,,,
7107603-5,"Carne da Paca, frito(a)",,234.7,34.85,9.52,,,22,29,0.032,292,10,59,403,0.189,2.27,44.27,,,0.05,0.31,2.2,0.47,8.3,11,,0.66,3,117,2.471,2.474,2.83,0.014,,
7107611-2,"Carne de Jacare, cozido(a)",,92,19.4,1.6,,,11,23,0.017,182,1.1,77,233,0.3,1.27,25.5,18,18,0.11,0.18,3,0.12,1.01,15,,0.63,,91.1,0.39,0.48,0.36,0.01,,
7107611-5,"Carne de Jacare, frito(a)",,114.7,19.4,4.16,,,11,23,0.017,182,1.1,77,233,0.3,1.27,26.68,18,18,0.11,0.18,3,0.12,1.01,15,,0.84,,91.1,0.791,1.064,1.84,0.024,,
7107615-2,"Carne de Capivara, cozido(a)",,212,34.85,6.96,,,22,29,0.032,292,10,59,403,0.189,2.27,43.1,,,0.05,0.31,2.2,0.47,8.3,11,,0.45,3,117,2.07,1.89,1.35,,,
7107615-4,"Carne de Capivara, assado(a)",,212,34.85,6.96,,,22,29,0.032,292,10,59,403,0.189,2.27,43.1,,,0.05,0.31,2.2,0.47,8.3,11,,0.45,3,117,2.07,1.89,1.35,,,
7107615-5,"Carne de Capivara, frito(a)",,234.7,34.85,9.52,,,22,29,0.032,292,10,59,403,0.189,2.27,44.27,,,0.05,0.31,2.2,0.47,8.3,11,,0.66,3,117,2.471,2.474,2.83,0.014,,
7107617-2,"Carne de Cotia, cozido(a)",,212,34.85,6.96,,,22,29,0.032,292,10,59,403,0.189,2.27,43.1,,,0.05,0.31,2.2,0.47,8.3,11,,0.45,3,117,2.07,1.89,1.35,,,
7107617-4,"Carne de Cotia, assado(a)",,212,34.85,6.96,,,22,29,0.032,292,10,59,403,0.189,2.27,43.1,,,0.05,0.31,2.2,0.47,8.3,11,,0.45,3,117,2.07,1.89,1.35,,,
7107622-2,"Carne de Jabuti, cozido(a)",,117,24.16,1.53,,,18,58,0.02,289,0.34,105,344,0.026,0.63,58.2,13,13,0.08,0.114,2.179,0.24,2.51,9,1.92,0.66,,68,0.363,0.276,0.646,,,
7107801-2,"Carne de Primeira, cozido(a)",,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107801-3,"Carne de Primeira, grelhado(a)/brasa/churrasco",,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107801-4,"Carne de Primeira, assado(a)",,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107801-5,"Carne de Primeira, frito(a)",,226.7,30.67,11.56,,,7,20,0.011,193,2.53,41,252,0.074,5.2,32.88,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.64,,58,3.816,4.502,1.827,0.423,,
7107801-6,"Carne de Primeira, empanado(a)/a milanesa",,242.8,31.13,11.61,3.39,0.14,7.67,20.98,0.041,197.8,2.74,41.09,256.76,0.08,5.23,34.38,,,0.105,0.185,5.622,0.405,1.71,19.07,0.6,0.642,,58,3.823,4.506,1.845,0.423,0.01,
7107801-7,"Carne de Primeira, refogado(a)",,226.7,30.67,11.56,,,7,20,0.011,193,2.53,41,252,0.074,5.2,32.88,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.64,,58,3.816,4.502,1.827,0.423,,
7107801-8,"Carne de Primeira, molho vermelho",,168,24.8,7.24,1.08,0.3,8.2,19.2,0.03,159.6,2.23,137.6,267.8,0.083,4.2,25.4,,3.48,0.061,0.144,4.483,0.342,1.368,10.2,0.48,0.628,1.4,46.4,2.737,3.14,0.292,0.327,0.85,
7107801-9,"Carne de Primeira, molho branco",,195.8,25.32,9.69,1.85,0.04,28.48,18.31,0.019,174.09,2.09,53.72,231.65,0.063,4.25,26.53,20.7,21.08,0.075,0.173,4.384,0.33,1.458,11.6,0.707,0.409,0,53.23,4.264,3.771,0.39,0.424,1.03,
7107801-11,"Carne de Primeira, com manteiga/oleo",,223.1,30.69,11.16,0,,7.64,20.05,0.011,193.64,2.53,56.37,252.64,0.074,5.2,31.73,17.91,18.26,0.07,0.164,5.361,0.403,1.715,10.08,0.637,0.492,,63.74,4.786,4.479,0.428,0.496,0,
7107804-2,"Chuleta, cozido(a)",,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107804-3,"Chuleta, grelhado(a)/brasa/churrasco",,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107804-4,"Chuleta, assado(a)",,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107804-5,"Chuleta, frito(a)",,226.7,30.67,11.56,,,7,20,0.011,193,2.53,41,252,0.074,5.2,32.88,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.64,,58,3.816,4.502,1.827,0.423,,
7107805-1,"File Nao Especificado, cru(a)",,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107805-2,"File Nao Especificado, cozido(a)",,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107805-3,"File Nao Especificado, grelhado(a)/brasa/churrasco",,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107805-4,"File Nao Especificado, assado(a)",,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7107805-5,"File Nao Especificado, frito(a)",,226.7,30.67,11.56,,,7,20,0.011,193,2.53,41,252,0.074,5.2,32.88,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.64,,58,3.816,4.502,1.827,0.423,,
7107805-6,"File Nao Especificado, empanado(a)/a milanesa",,242.8,31.13,11.61,3.39,0.14,7.67,20.98,0.041,197.8,2.74,41.09,256.76,0.08,5.23,34.38,,,0.105,0.185,5.622,0.405,1.71,19.07,0.6,0.642,,58,3.823,4.506,1.845,0.423,0.01,
7107805-7,"File Nao Especificado, refogado(a)",,226.7,30.67,11.56,,,7,20,0.011,193,2.53,41,252,0.074,5.2,32.88,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.64,,58,3.816,4.502,1.827,0.423,,
7107805-8,"File Nao Especificado, molho vermelho",,168,24.8,7.24,1.08,0.3,8.2,19.2,0.03,159.6,2.23,137.6,267.8,0.083,4.2,25.4,,3.48,0.061,0.144,4.483,0.342,1.368,10.2,0.48,0.628,1.4,46.4,2.737,3.14,0.292,0.327,0.85,
7107805-11,"File Nao Especificado, com manteiga/oleo",,223.1,30.69,11.16,0,,7.64,20.05,0.011,193.64,2.53,56.37,252.64,0.074,5.2,31.73,17.91,18.26,0.07,0.164,5.361,0.403,1.715,10.08,0.637,0.492,,63.74,4.786,4.479,0.428,0.496,0,
7107805-13,"File Nao Especificado, ensopado",,226.7,30.67,11.56,,,7,20,0.011,193,2.53,41,252,0.074,5.2,32.88,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.64,,58,3.816,4.502,1.827,0.423,,
7107805-99,File Nao Especificado,,204,30.67,9,,,7,20,0.011,193,2.53,41,252,0.074,5.2,31.7,,,0.07,0.163,5.36,0.403,1.71,10,0.6,0.43,,58,3.415,3.918,0.347,0.409,,
7108107-2,"Miudo de Bode, cozido(a)",,191,29.08,5.26,5.13,,6,21,0.356,497,6.54,79,352,14.283,5.3,36.1,9428,9442.42,0.194,3.425,17.525,1.017,70.58,253,0.4,0.51,1.9,396,1.696,0.647,0.639,0.21,,
7108301-2,"Pe Suino Fresco, cozido(a)",,214,28.81,10.13,,,6,24,0.011,222,1,50,363,0.012,2.83,43.2,2,2,0.639,0.312,5.355,0.4,0.55,9,0.8,0.32,0.4,83,3.54,4.49,0.85,0.03,,
7108301-3,"Pe Suino Fresco, grelhado(a)/brasa/churrasco",,214,28.81,10.13,,,6,24,0.011,222,1,50,363,0.012,2.83,43.2,2,2,0.639,0.312,5.355,0.4,0.55,9,0.8,0.32,0.4,83,3.54,4.49,0.85,0.03,,
7108301-5,"Pe Suino Fresco, frito(a)",,236.7,28.81,12.69,,,6,24,0.011,222,1,50,363,0.012,2.83,44.38,2,2,0.639,0.312,5.355,0.4,0.55,9,0.8,0.53,0.4,83,3.941,5.074,2.33,0.044,,
7109101-1,"Carne Bovina, cru(a)",,242,24.22,15.42,,,8,20,0.001,196,2.81,67,337,0.093,5.71,28.3,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.14,,75,5.738,7.002,0.613,0.68,,
7109101-2,"Carne Bovina, cozido(a)",,242,24.22,15.42,,,8,20,0.001,196,2.81,67,337,0.093,5.71,28.3,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.14,,75,5.738,7.002,0.613,0.68,,
7109101-3,"Carne Bovina, grelhado(a)/brasa/churrasco",,242,24.22,15.42,,,8,20,0.001,196,2.81,67,337,0.093,5.71,28.3,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.14,,75,5.738,7.002,0.613,0.68,,
7109101-4,"Carne Bovina, assado(a)",,242,24.22,15.42,,,8,20,0.001,196,2.81,67,337,0.093,5.71,28.3,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.14,,75,5.738,7.002,0.613,0.68,,
7109101-5,"Carne Bovina, frito(a)",,264.7,24.22,17.98,,,8,20,0.001,196,2.81,67,337,0.093,5.71,29.48,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.35,,75,6.139,7.586,2.093,0.694,,
7109101-6,"Carne Bovina, empanado(a)/a milanesa",,280.8,24.68,18.03,3.39,0.14,8.67,20.98,0.031,200.8,3.02,67.09,341.76,0.099,5.74,30.98,,,0.116,0.248,3.469,0.257,2.83,18.07,0.7,0.352,,75,6.146,7.59,2.111,0.694,0.01,
7109101-7,"Carne Bovina, refogado(a)",,264.7,24.22,17.98,,,8,20,0.001,196,2.81,67,337,0.093,5.71,29.48,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.35,,75,6.139,7.586,2.093,0.694,,
7109101-8,"Carne Bovina, molho vermelho",,198.4,19.64,12.37,1.08,0.3,9,19.2,0.022,162,2.45,158.4,335.8,0.098,4.61,22.68,,3.48,0.07,0.194,2.761,0.223,2.264,9.4,0.56,0.396,1.4,60,4.595,5.607,0.505,0.544,0.85,
7109101-9,"Carne Bovina, molho branco",,226.2,20.16,14.82,1.85,0.04,29.28,18.31,0.011,176.49,2.32,74.52,299.65,0.079,4.66,23.81,20.7,21.08,0.083,0.224,2.661,0.212,2.354,10.8,0.787,0.177,0,66.83,6.123,6.239,0.603,0.641,1.03,
7109101-10,"Carne Bovina, ao alho e oleo",,261.1,24.24,17.59,0,,8.64,20.05,0.001,196.64,2.81,82.37,337.64,0.093,5.71,28.33,17.91,18.26,0.081,0.227,3.208,0.255,2.835,9.08,0.737,0.202,,80.74,7.109,7.563,0.694,0.767,0,
7109101-11,"Carne Bovina, com manteiga/oleo",,261.1,24.24,17.59,0,,8.64,20.05,0.001,196.64,2.81,82.37,337.64,0.093,5.71,28.33,17.91,18.26,0.081,0.227,3.208,0.255,2.835,9.08,0.737,0.202,,80.74,7.109,7.563,0.694,0.767,0,
7109101-12,"Carne Bovina, ao vinagrete",,242,24.22,15.42,,,8,20,0.001,196,2.81,67,337,0.093,5.71,28.3,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.14,,75,5.738,7.002,0.613,0.68,,
7109101-13,"Carne Bovina, ensopado",,264.7,24.22,17.98,,,8,20,0.001,196,2.81,67,337,0.093,5.71,29.48,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.35,,75,6.139,7.586,2.093,0.694,,
7109101-15,"Carne Bovina, sopa",,63.9,3.81,1.81,7.73,0.39,6.63,7.03,0.052,39.85,0.65,364.01,125.68,0.049,0.68,4.81,,0.74,0.047,0.063,1.277,0.069,0.339,10.13,0.089,0.039,1.57,7.86,0.677,0.792,0.094,0.077,0.24,
7109101-99,Carne Bovina,,242,24.22,15.42,,,8,20,0.001,196,2.81,67,337,0.093,5.71,28.3,,,0.081,0.226,3.207,0.255,2.83,9,0.7,0.14,,75,5.738,7.002,0.613,0.68,,
7110601-1,"Lombo Nao Especificado, cru(a)",,289,25.34,20.06,,,15,22,0.028,257,0.98,59,338,0.098,3.06,43.3,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.22,0.3,92,7.36,9.02,1.89,0.037,,
7110601-2,"Lombo Nao Especificado, cozido(a)",,289,25.34,20.06,,,15,22,0.028,257,0.98,59,338,0.098,3.06,43.3,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.22,0.3,92,7.36,9.02,1.89,0.037,,
7110601-4,"Lombo Nao Especificado, assado(a)",,289,25.34,20.06,,,15,22,0.028,257,0.98,59,338,0.098,3.06,43.3,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.22,0.3,92,7.36,9.02,1.89,0.037,,
7110601-5,"Lombo Nao Especificado, frito(a)",,338.6,25.34,25.67,,,15,22,0.028,257,0.98,59,338,0.098,3.06,45.87,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.679,0.3,92,8.238,10.297,5.128,0.067,,
7110601-9,"Lombo Nao Especificado, molho branco",,289,25.34,20.06,,,15,22,0.028,257,0.98,59,338,0.098,3.06,43.3,3,3,0.578,0.302,4.46,0.401,0.66,5,1.1,0.22,0.3,92,7.36,9.02,1.89,0.037,,
7110801-2,"Musculo Nao Especificado, cozido(a)",,199,36.12,5,,,4,26,0.018,226,3.32,45,334,0.124,4.56,33,,,0.07,0.25,3.81,0.28,2.7,9,0.7,0.14,,90,1.72,2,0.22,0.227,,
7110801-13,"Musculo Nao Especificado, ensopado",,221.7,36.12,7.56,,,4,26,0.018,226,3.32,45,334,0.124,4.56,34.17,,,0.07,0.25,3.81,0.28,2.7,9,0.7,0.35,,90,2.121,2.584,1.7,0.241,,
