codigo,descricao,grupo,energiaKcal,proteinaG,lipideosG,carboidratoG,fibraG,calcioMg,magnesioMg,manganesMg,fosforoMg,ferroMg,sodioMg,potassioMg,cobreMg,zincoMg,selenioMcg,retinolMcg,raeMcg,tiaminaMg,riboflavinaMg,niacinaMg,piridoxinaMg,vitaminaB12Mcg,folatoMcg,vitaminaDMcg,vitaminaEMg,vitaminaCMg,colesterolMg,gordurasSaturadasG,gordurasMonoinsaturadasG,gordurasPoliinsaturadasG,gordurasTransG,acucaresG,acucaresAdicionadosG
8102204-7,"Linguica (Suína, Bovina, Mista, Etc), refogado(a)",,396,13.8,36.25,2.7,,10,12,0.037,107,1.13,805,189,0.04,1.87,14.4,,,0.357,0.147,3.367,0.05,0.43,2,0.7,0.22,,71,12.96,17.18,3.9,2.52,1.34,2.7
8102204-8,"Linguica (Suína, Bovina, Mista, Etc), molho vermelho",,321.6,11.3,29.04,3.24,0.3,10.6,12.8,0.051,90.8,1.11,748.8,217.4,0.055,1.54,11.56,,3.48,0.29,0.131,2.889,0.059,0.344,3.8,0.56,0.46,1.4,56.8,10.373,13.749,3.135,2.016,1.92,2.16
8102204-11,"Linguica (Suína, Bovina, Mista, Etc), com manteiga/oleo",,396,13.8,36.25,2.7,,10,12,0.037,107,1.13,805,189,0.04,1.87,14.4,,,0.357,0.147,3.367,0.05,0.43,2,0.7,0.22,,71,12.96,17.18,3.9,2.52,1.34,2.7
8102204-13,"Linguica (Suína, Bovina, Mista, Etc), ensopado",,396,13.8,36.25,2.7,,10,12,0.037,107,1.13,805,189,0.04,1.87,14.4,,,0.357,0.147,3.367,0.05,0.43,2,0.7,0.22,,71,12.96,17.18,3.9,2.52,1.34,2.7
8102204-99,"Linguica (Suína, Bovina, Mista, Etc)",,396,13.8,36.25,2.7,,10,12,0.037,107,1.13,805,189,0.04,1.87,14.4,,,0.357,0.147,3.367,0.05,0.43,2,0.7,0.22,,71,12.96,17.18,3.9,2.52,1.34,2.7
8102207-1,"Linguica de Frango, cru(a)",,244,18.2,18.4,,,14,21,0.1,228,0.7,1351,356,0.09,1,,,,0.12,0.04,5.97,,,,,,,80,4.7,6.8,3.4,,,
8102207-2,"Linguica de Frango, cozido(a)",,244,18.2,18.4,,,14,21,0.1,228,0.7,1351,356,0.09,1,,,,0.12,0.04,5.97,,,,,,,80,4.7,6.8,3.4,,,
8102207-3,"Linguica de Frango, grelhado(a)/brasa/churrasco",,244,18.2,18.4,,,14,21,0.1,228,0.7,1351,356,0.09,1,,,,0.12,0.04,5.97,,,,,,,80,4.7,6.8,3.4,,,
8102207-4,"Linguica de Frango, assado(a)",,244,18.2,18.4,,,14,21,0.1,228,0.7,1351,356,0.09,1,,,,0.12,0.04,5.97,,,,,,,80,4.7,6.8,3.4,,,
8102207-5,"Linguica de Frango, frito(a)",,245,18.3,18.5,,,15,29,0.1,262,0.8,1374,364,0.04,1.2,,,,0.11,0.05,5.67,,,,,,,76,5,7.2,4.3,,,
8102401-99,Chourico,,379,14.6,34.5,1.29,,6,8,0.01,22,6.4,680,38,0.04,1.3,15.5,,,0.07,0.13,1.2,0.04,1,5,0.253,0.13,,120,13.4,15.9,3.46,0.081,1.31,1.1
8102402-99,Morcela,,379,14.6,34.5,1.29,,6,8,0.01,22,6.4,680,38,0.04,1.3,15.5,,,0.07,0.13,1.2,0.04,1,5,0.253,0.13,,120,13.4,15.9,3.46,0.081,1.31,1.1
8102403-1,"Morcilha, cru(a)",,379,14.6,34.5,1.29,,6,8,0.01,22,6.4,680,38,0.04,1.3,15.5,,,0.07,0.13,1.2,0.04,1,5,0.253,0.13,,120,13.4,15.9,3.46,0.081,1.31,1.1
8102403-2,"Morcilha, cozido(a)",,379,14.6,34.5,1.29,,6,8,0.01,22,6.4,680,38,0.04,1.3,15.5,,,0.07,0.13,1.2,0.04,1,5,0.253,0.13,,120,13.4,15.9,3.46,0.081,1.31,1.1
8102501-2,"Paio, cozido(a)",,339,19.43,28.36,,,13,17,0.005,163,1.36,749,294,0.086,2.08,,12,12,0.294,0.197,6.258,0.327,1.18,3,,0.55,0.7,84,9.131,12.376,3.727,0.11,0.14,
8102601-99,Mortadela,,307,11.1,27.7,3.2,,11,11,0.021,98,0.66,930,199,0.06,1.66,13.5,,,0.342,0.14,2.734,0.17,1.18,2,1.1,0.57,,60,10.21,12.81,2.92,0.802,2.54,2.71
8102701-99,Salame,,336,21.85,25.9,2.4,,15,19,0.978,191,1.56,1449,316,0.357,2.93,31.3,,,0.367,0.357,6.053,0.459,1.52,3,0.719,0.22,,89,9.316,11.127,2.529,0.586,0.96,0.95
8102702-99,Salaminho,,336,21.85,25.9,2.4,,15,19,0.978,191,1.56,1449,316,0.357,2.93,31.3,,,0.367,0.357,6.053,0.459,1.52,3,0.719,0.22,,89,9.316,11.127,2.529,0.586,0.96,0.95
